name_1,name_2
Kawasaki Heavy Industries,JP Steel Plantech Co.
Kawasaki Heavy Industries,"Kawaju Akashi Service Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Engineering Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Oita Manufacturing Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Metal Industries, Ltd."
Kawasaki Heavy Industries,"Kawasaki Setsubi Kogyo Co., Ltd."
Kawasaki Heavy Industries,Kawasaki Shipbuilding Corporation
Kawasaki Heavy Industries,"Kawasaki Plant Systems, Ltd."
Kawasaki Heavy Industries,Kawasaki Precision Machinery Ltd.
Kawasaki Heavy Industries,"Kawasaki Machine Systems, Ltd."
Kawasaki Heavy Industries,Kawasaki Motors Corporation Japan
Kawasaki Heavy Industries,Kawasaki Hydromechanics Corp.
Kawasaki Heavy Industries,Kawasaki Life Corporation
Kawasaki Heavy Industries,"Kawasaki Naval Engine Service, Ltd."
Kawasaki Heavy Industries,"Kawaju Akashi Engineering Co., Ltd."
Kawasaki Heavy Industries,"KEE Environmental Construction, Co. Ltd."
Kawasaki Heavy Industries,"KEE Environmental Service, Ltd."
Kawasaki Heavy Industries,"Kawaju Gifu Service Co., Ltd."
Kawasaki Heavy Industries,"Kawaju Gifu Engineering Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Construction Co., Ltd."
Kawasaki Heavy Industries,"Kawaju Shoji Co., Ltd."
Kawasaki Heavy Industries,Kawaju Techno Service Corp.
Kawasaki Heavy Industries,Kawaju Tokyo Service Corp.
Kawasaki Heavy Industries,"Kawaju Facilitech Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Thermal Engineering Co., Ltd."
Kawasaki Heavy Industries,K Career Partners Corp.
Kawasaki Heavy Industries,"K-GES Co., Ltd."
Kawasaki Heavy Industries,K-Tec Corp.
Kawasaki Heavy Industries,"Kawasaki Construction Machinery, Hokkaido Ltd."
Kawasaki Heavy Industries,"Kawaju Sakaide Service Co., Ltd."
Kawasaki Heavy Industries,"Kawaju Kobe Support Co., Ltd."
Kawasaki Heavy Industries,"Kawaju Marine Engineering Co., Ltd."
Kawasaki Heavy Industries,"KHI JPS Co., Ltd."
Kawasaki Heavy Industries,"Kawasaki Shipbuilding Inspection Co., Ltd."
Kawasaki Heavy Industries,"Nichijo Manufacturing Co., Ltd."
Kawasaki Heavy Industries,NIPPI Corporation
Kawasaki Heavy Industries,Technica Corp.
Kawasaki Heavy Industries,"Union Precision Die Co., Ltd."
Kawasaki Heavy Industries,Kawasaki Precision Machinery  Limited
Kawasaki Heavy Industries,Kawasaki Robotics  Ltd.
Kawasaki Heavy Industries,Kawasaki Robotics G.m.b.H.
Kawasaki Heavy Industries,Kawasaki Gas Turbine Europe GmbH
Kawasaki Heavy Industries,Kawasaki Motors Europe N.V.
Kawasaki Heavy Industries,Kawasaki Heavy Industries  B.V.
Kawasaki Heavy Industries,Kawasaki Motors Pty. Ltd.
Kawasaki Heavy Industries,Wheel loaders
Kawasaki Heavy Industries,Construction machinery
Kawasaki Heavy Industries,Shield Machines
Kawasaki Heavy Industries,Tunnel boring machines
Kawasaki Heavy Industries,Steel bridges
Kawasaki Heavy Industries,LNG and LPG tanks
Kawasaki Heavy Industries,Airport and port-related products
Kawasaki Heavy Industries,Snowplows
"Kirin Company, Limited","Kirin Brewery Company, Limited"
"Kirin Company, Limited","Kirin Holdings Company, Limited"
"Kirin Company, Limited","Ei Sho Gen Company, Limited"
"Kirin Company, Limited","Kirin Communications Stage Company, Limited"
"Kirin Company, Limited","Kirin Logistics Company, Limited"
"Kirin Company, Limited","Kirin Techno-System Company, Limited"
"Kirin Company, Limited","Kirin Engineering Company, Limited"
"Kirin Company, Limited","Kyowa Hakko Kirin Company, Limited"
"Kirin Company, Limited","Nagano Tomato Company, Limited"
"Kirin Company, Limited","Flower Gate, Inc."
"Kirin Company, Limited","Flower Season Company, Limited"
"Kirin Company, Limited","Verdy Company, Limited"
"Kirin Company, Limited","Tokita Seed Company, Limited"
"Kirin Company, Limited",Japan Potato Corporation
"Kirin Company, Limited","Kirin Dining Company, Limited"
"Kirin Company, Limited","Kirin City Company, Limited"
Kodenshi AUK Group,South America
Kodenshi AUK Group,Europe
Kodenshi AUK Group,Middle East
Kodenshi AUK Group,Africa
Konami,Konami Holdings Corporation
Konami,"Konami Digital Entertainment Co., Ltd."
Konami,"Konami Amusement Co., Ltd."
Konami,"Konami Real Estate, Inc."
Konami,"KPE, Inc."
Konami,"Konami Manufacturing and Service, Inc."
Konami,"Konami Facility Service, Inc."
Konami,"KME Co., Ltd."
Konami,"Takasago Electric Industry Co., Ltd."
Konami,"Internet Revolution, Inc."
Konami,Biz Share Corporation
Konami,Combi Wellness Corporation
Lotte ,Lotte Corporation
Marubeni,Marubeni Corporation
Mitsubishi,Mitsubishi Group
Mitsubishi,Mitsubishi Group of Companies
Mitsubishi,Mitsubishi Companies
Mitsubishi,Mitsubishi Keiretsu
Mitsubishi,MUFG Bank
Mitsubishi,Mitsubishi Corporation
Mitsubishi,Mitsubishi Heavy Industries
Mitsui,Mitsui Group
NEC,NEC Corporation
NEC,"Nippon Electric Company, Limited"
Nintendo,"Nintendo Technology Development, Inc."
Nintendo,Nintendo Software Technology Corporation
Nintendo,Nintendo of Canada Ltd.
Nintendo,Nintendo France
Nintendo,Nintendo Benelux B.V>
Nintendo,Nintendo Iberica S.A.
Nintendo,Nintendo RU LLC
Nintendo,Nintendo Australia
Nintendo,Nintendo of Korea Co. Ltd.
Nintendo,iQue 
Nintendo,Retro Studios
Nintendo,Nintendo  Limited
Nintendo,Nintendo European Research and Development
Nintendo,Nintendo Sales Co. Ltd. 
Nintendo,NDcube
Nintendo,-UP Studio
Nintendo,Monolith Soft
Nintendo,"Mario Club Co., Ltd."
Nippon Telegraph and Telephone,Nippon Telegraph and Telephone Corporation
Nippon Telegraph and Telephone,NTT
Nippon Telegraph and Telephone,NTT Docomo
Nippon Telegraph and Telephone,e-shelter
Nippon Telegraph and Telephone,Gyron Internet Ltd
Nippon Telegraph and Telephone,NTT Data
Nippon Telegraph and Telephone,NTT Comware
Nippon Telegraph and Telephone,NTT Software
Nippon Telegraph and Telephone,NTT AT
Nippon Telegraph and Telephone,NTT IT
Nomura Group,"Nomura Holdings, Inc."
Rakuten,"Rakuten, Inc."
Rakuten,Rakuten Ichiba
Rakuten,Rakuten.com
Rakuten,Rakuten.co.uk
Rakuten,Rakuten.fr
Rakuten,Food deliveryRakuten Delivery
Rakuten,Rakuten Delivery
Rakuten,Travel bookingVoyagin
Rakuten,Voyagin
Rakuten,Online cash-backRakuten Rewards
Rakuten,Rakuten Rewards
Rakuten,Viki
Rakuten,Rakuten TV
Rakuten,Kobo Inc.
Rakuten,Rakuten Aquafadas
Rakuten,Rakuten Advertising
Sanrio,"Sanrio Co., Ltd."
Sapporo Brewery,Beer in Japan
Sega Sammy Holdings,High Moon Studios
Sega Sammy Holdings,Sega Live Creation Inc.
Sega Sammy Holdings,"Oasis Park Co., Ltd."
Sega Sammy Holdings,SI Electronics Ltd.
Sega Sammy Holdings,"SIMS Co., Ltd."
Sega Sammy Holdings,"Index Asia Co, Ltd."
Sega Sammy Holdings,Technosoft
Sega Sammy Holdings,Visual Concepts
Sega Sammy Holdings,Sammy Corporation
Sega Sammy Holdings,Ginza Corporation
Sega Sammy Holdings,"RODEO Co., Ltd."
Sega Sammy Holdings,"Taiyo Elec Co., Ltd."
Showa Denko,Showa Denko K. K.
Showa Denko,SDK
Showa Denko,Ceramics Division
Sojitz,Sojitz Corporation
Sony,Main trust account 
Sony,Trust account  
Sony,JPMorgan Chase Bank  
Square Enix,Official website 
Subaru Corporation,"The automobile division, Subaru."
Suntory,Suntory Beverage & Food Limited
Suntory,Black Oolong Tea
Suntory,Sesame Barley Tea
Toray Industries,"Toray Industries, Inc."
Toshiba,Semiconductor Division 
Toshiba,Storage Products Division 
Toshiba,Research & Develop Center
Toshiba,Toshiba Carrier Corporation
Toshiba,Toshiba Lighting & Technology Corporation
Toshiba,Railway & Automotive Systems Division
Toshiba,Railway Systems Division
Toshiba,Automotive Systems Division
Toshiba,Motor & Drive Systems Division
Toshiba,Defense & Electronic Systems Division
Toshiba,Environmental Systems Division
Toshiba,Toshiba Digital Solutions Corporation
Toyota Group,"Fuji Pharma Co., Ltd."
Ube Industries,"Ube Industries, Ltd."
Ube Industries,Tokyo 
Ube Industries,Fukuoka 
Ube Industries,Chiba 
Ube Industries,Osaka 
Ube Industries,Nagoya 
Ube Industries,Caprolactam
Ube Industries,Polyamide
Ube Industries,Synthetic rubber
Ube Industries,Ammonia
Ube Industries,Acrylonitrile butadiene styrene
Ube Industries,Polyethylene
CJ Group,CJ CheilJedang Food division
CJ Group,Bibigo
CJ Group,Cheiljemyunso 
CJ Group,China Factory 
CJ Group,CJ Foodworld
CJ Group,Seafood Ocean
CJ Group,Tous Les Jours 
CJ Group,Twosome Coffee 
CJ Group,VIPS Burger 
CJ Group,CJ Freshway
CJ Group, Wonhyeong Industrial CO
CJ Group, Mipung Industrial CO
CJ Group, Dongyang Jedang
CJ Group, Yongin hog farm
CJ Group, Dongryp Industrial Corp
CJ Group,  Shopping
CJ Group, CJ Darcl Logistics Limited
CJ Group, Onmedia
CJ Group, Korea Express
CJ Group, Schwans Company
Daelim Group,Daelim Industrial
Daelim Group,Daelim Motor Company
Daelim Group,Daerim Auto Bicycle Company
Daelim Group,Daelim Corporation
Daelim Group,Samho
Daelim Group,KDC
Daelim Group,Daelim I&S
Daelim Group,Daelim Concrete
Daelim Group,Ora Resort
Daelim Group,DWT
Dongbu Group,DB Group
Dongbu Group,DB Insurance
Dongbu Group,DB Hitek
Dongbu Group,DB Financial Investment
Dongbu Group,DB Savings Bank
Dongbu Group,DB Capital
Dongbu Group,DB Financial Service
Dongbu Group,DB Life Insurance
Dongbu Group,DB Metal
Dongbu Group,DB Stock Investment
Dongbu Group,DB Inc.
Dongbu Group,DB FIS
Eugene Group,Eugene Concrete
Eugene Group,Eugene Basic Materials Company
Eugene Group,Tongyang Inc.
Eugene Group,Eugene Total Development Company
Eugene Group,Dream City 
Eugene Group,Eugene Dream Networks
Eugene Group,Eugene Broadband Solutions
Eugene Group,Eugene IT Service
Eugene Group,EM Media
Eugene Group,Korea Logistics
Eugene Group,Purunsol Golf Club
Eugene Group,Yeongyang Confectionery
Eugene Group,Eugene Investment & Securities
Eugene Group,Eugene Asset Management
Eugene Group,Eugene Investment & Futures
Eugene Group,Eugene Private Equity
Eugene Group,Eugene Savings Bank
GS Group,LG Group
GS Group,LS Group
GS Group,GS Square
Hanjin,Hanjin Group
Hanwha Group,Korea Explosives Co.
Hanwha Group,Aerospace & Mechatronics
Hanwha Group,Chemicals & Materials
Hanwha Group,Construction
Hanwha Group,Financial Services
Hanwha Group,Leisure & Lifestyle
Hanwha Group,Solar Energy
Hanwha Group,Esports
Hanwha Group,Hanwha Corporation
Hanwha Group,Hanwha Aerospace
Hanwha Group,Hanwha Systems
Hanwha Group,Hanwha Techwin
Hanwha Group,Hanwha Precision Machinery
Hanwha Group,Hanwha Power Systems
Hanwha Group,Hanwha Chemical
Hanwha Group,Hanwha General Chemical
Hanwha Group,Hanwha TOTAL Petrochemical
Hanwha Group,YEOCHUN NCC
Hanwha Group,Hanwha Advanced Materials
Hanwha Group,Hanwha Q CELLS
Hanwha Group,Hanwha Energy
Hanwha Group,Hanwha Engineering & Construction
Hanwha Group,Hanwha City Development
Hyosung,Hyosung Corporation
Hyundai Motor Group,HYUNDAI
Hyundai Motor Group,IONITY
Hyundai Motor Group,Hyundai Motor Company
Hyundai Motor Group,Ioniq
Hyundai Motor Group,Kia Motors
Hyundai Motor Group,Genesis Motor
Hyundai Motor Group,Hyundai Glovis
Isu Group,Isu Corporation
Isu Group,Isu Chemical Company
Isu Group,Isu Constructions
Isu Group,Isu Petasys
Isu Group,Isu Oil Marketing Sales
Isu Group,Isu Venture Capital
Isu Group,Isu Business Systems
Isu Group,Isu Abxis
Isu Group,Isu Ubcare
Isu Group,Isu Exachem
Isu Group,Isu Exaboard
Isu Group,Total-Isu Oil Company
Isu Group,Isu C&E
KT Corporation,Korea Telecom
KT Corporation,Busan KT Sonicboom
KT Corporation,KT Wiz 
KT Corporation,KT Hockey Team
KT Corporation,KT Golf Team
Kumho Asiana Group,Economy of South Korea
Kumho Asiana Group,Chaebol
Kumho Asiana Group,List of South Korean companies
LG Corp,GS Group
LG Corp,LS Group
LG Corp,LIG Group
LG Corp,Lejel Group
LG Corp,Heesung Group
LG Corp,SPC Group
LG Corp,Food & Beverages
LG Corp,Home Care
LG Corp,Personal Care
LG Corp, Copa América
LG Corp, Korean Grand Prix
LG Corp,– FIS Snowboard World Cup
LG Corp,Los Angeles Dodgers
LG Corp,Son Yeon-jae
LG Corp,Angela Park
LG Corp,Fulham F.C.
LG Corp,Song Il Gook
Nongshim,"Nongshim Co., Ltd."
Nongshim,Lotte Food Industrial Company
Nongshim,Official website 
POSCO,Po
POSCO,Co
POSCO,ArcelorMittal
POSCO,Nippon Steel
POSCO,JFE Group
POSCO,Nucor Corporation
POSCO,Tata Steel
POSCO,Bhushan Steel
POSCO,ThyssenKrupp
POSCO,Essar Steel
POSCO,JSW Steel
Samsung,First Samsung logo.
Samsung,"s-, as corporate logo"
Samsung,"-, as Samsung Electronics logo"
Shinsegae,Westin Chosun Hotel
Shinsegae,Samsung
Shinsegae,Lotte
Shinsegae,Hyundai Department Store Group
Shinsegae,Home Plus
SK Group,Sunkyong Group
SK Group,H.A.V.E. Online
SK Group,chaebol
SK Group,Economy of South Korea
SK Group,List of Korea-related topics
SPC Group,SPC Logistics
SPC Group,SPC Cloud
SPC Group,SPC Networks
SPC Group,SPC Capital
SPC Group,Samlip GFS
SPC Group,Sungil Chemical
SPC Group,Mildawon
SPC Group,S dairy Foods
STX Corporation,Trading business
Taekwang Group,Taekwang Industry
Taekwang Group,Taekwang Synthetic Fiber 
Taekwang Group,Daehan Synthetic Fiber
Taekwang Group,Heungkuk Fire & Marine Insurance
Taekwang Group,Incheon Heungkuk Life Pink Spiders
Taekwang Group,Goryo Mutual Savings Bank
Taekwang Group,Yegaram Mutual Savings Bank
Taekwang Group,Heungkuk Investment & Financial Services
Taekwang Group,Heungkuk Securities 
Taekwang Group,Taekwang Tour Development
Taekwang Group,T-broad
Taekwang Group,T-cast
Taekwang Group,KDMC*
Taekwang Group,tsis
Taekwang Group,Korea Book Promotions
Taekwang Group,Iljoo Academy
Taekwang Group,Iljoo Academy & Culture Foundation
Taekwang Group,Sehwa Academy & Culture Foundation
Tongyang Group,Tong Yang Group
YTN Group,YTN
YTN Group,YTN science 
YTN Group,YTN Life 
YTN Group,YTN DMB
YTN Group,YTN Radio
YTN Group,YTN PLUS
YTN Group,N Seoul Tower
Galaxy Entertainment Group,Galaxy Entertainment Group 
Galaxy Entertainment Group,Gambling in Macau
Galaxy Entertainment Group,Gambling in Hong Kong
Sociedade de Turismo e Diversões de Macau,STDM
Sociedade de Turismo e Diversões de Macau,Grand Lisboa
Sociedade de Turismo e Diversões de Macau,Hotel Lisboa
Sociedade de Turismo e Diversões de Macau,Grand Lapa Macau
Sociedade de Turismo e Diversões de Macau,Canidrome
Sociedade de Turismo e Diversões de Macau,President Hotel
Sociedade de Turismo e Diversões de Macau,"Macau International Airport, % interest"
Sociedade de Turismo e Diversões de Macau,Macau Golf and Country Club
Sociedade de Turismo e Diversões de Macau,Hotel Golden Dragon
Sociedade de Turismo e Diversões de Macau,Greek Mythology Casino
Sociedade de Turismo e Diversões de Macau,Pousada de Sao Tiago
Sociedade de Turismo e Diversões de Macau,Hotel Fortuna
Sociedade de Turismo e Diversões de Macau,Lisboa Palace
Sociedade de Turismo e Diversões de Macau,Tiger Slots
Sociedade de Turismo e Diversões de Macau,Grand Emperor Hotel
Sociedade de Turismo e Diversões de Macau,Grandview 
Sociedade de Turismo e Diversões de Macau,Casa Real Hotel 
Sociedade de Turismo e Diversões de Macau,Jet Asia
Sociedade de Turismo e Diversões de Macau,Westin Resort Macau
Sociedade de Turismo e Diversões de Macau,New Yaohan Department Store
DRB-HICOM,USF-HICOM  Sdn Bhd
DRB-HICOM,DRB-HICOM Auto Solutions Sdn Bhd
DRB-HICOM,DRB-HICOM University of Automotive Malaysia
DRB-HICOM,DRB-HICOM Environmental Services Sdn Bhd
DRB-HICOM,Glenmarie Cove Development Sdn Bhd
DRB-HICOM,Comtrac Sdn Bhd
DRB-HICOM,Bank Muamalat Malaysia
DRB-HICOM,KL Airport Services
Hong Leong Group,Hong Leong Financial Group Berhad
Hong Leong Group,Hong Leong Industries Berhad
Hong Leong Group,Malaysian Pacific Industries Berhad
Hong Leong Group,Southern Steel Berhad
Hong Leong Group,Hume Industries Berhad
Hong Leong Group,Hong Leong Bank
Hong Leong Group,Hong Leong Capital
Hong Leong Group,Hong Leong Assurance
IOI Group,Official website 
Media Prima,Media Prima Berhad
Media Prima,Kurnia Outdoor
Media Prima,UPD
Media Prima,The Right Channel
Media Prima,Gotcha
Media Prima,Big Tree Seni Jaya
Naza,Nasim Sdn Bhd 
Sime Darby,Sime Darby FC
Sunway Group,Sunway Berhad
Sunway Group,Sunway Pyramid
Sunway Group,Sunway Putra Mall
Sunway Group,Sunway Lagoon
YTL Corporation,Sydney Harbour Marriott Hotel
YTL Corporation,Melbourne Marriott Hotel
YTL Corporation,Brisbane Marriott Hotel
YTL Corporation,Perth The Westin Hotel
UMW Holdings,Assembly Services Sdn. Bhd.
UMW Holdings,Automotive Industries Sdn. Bhd.
UMW Holdings,Toyota Boshoku UMW Sdn. Bhd.
UMW Holdings,UMW Aerospace Sdn. Bhd.
UMW Holdings,UMW Aero Assets Sdn. Bhd.
UMW Holdings,Lubetech Sdn. Bhd.
UMW Holdings,Lubritech International Holdings Ltd.
UMW Holdings,UMW Advantech Sdn. Bhd.
UMW Holdings,KYB-UMW Malaysia Sdn. Bhd.
Mongolyn Alt Corporation,Mongolyn Alt 
Newcom Group,Newcom LLC
Newcom Group,Newtel LLC
Newcom Group,MobiNet LLC
Newcom Group,Ulusnet LLC
Newcom Group,Newfund LLC
Newcom Group,Mongol Content LLC
Newcom Group,Most PSP LLC
Newcom Group,Mobifinance LLC
Newcom Group,GrapeCity LLC
Unitel ,Uni
Unitel ,tel
Unitel ,TourSim
Unitel ,"International calling | IDD, Roaming"
Unitel ,Postpaid services
Unitel ,Prepaid services
Unitel ,BlackBerry
Unitel ,IP phone service
Unitel ,Content services
Unitel ,.G services
Unitel ,Value added services
Unitel ,G LTE
Unitel ,Fiber optic 
Unitel ,High speed Ethernet Bandwidth
Unitel ,FTTx Ethernet
Unitel ,Designated  Network
Unitel ,High security VPN
Unitel ,IX 
Unitel ,Wireless network
Unitel ,.G network
Unitel ,LTE
Htoo Group of Companies,Air Bagan
Htoo Group of Companies,Htoo Wood Products Company Ltd.
Htoo Group of Companies,Htoo Trading Company
Htoo Group of Companies,Aureum Palace Hotels & Resorts
Htoo Group of Companies,Air Bagan Holdings Company Ltd.
Htoo Group of Companies,"APEX Petroleum Co., Ltd."
Htoo Group of Companies,Asia Green Development Bank
Htoo Group of Companies,Bagan Entertainment
Htoo Group of Companies,"First National Insurance Co., Ltd."
Htoo Group of Companies,FM Bagan
Htoo Group of Companies,HTOO Trading Company
Htoo Group of Companies,HTOO Wood Products Company Ltd.
Htoo Group of Companies,HTOO Zoos and Gardens
Htoo Group of Companies,Mingalardon Cargo Services
Htoo Group of Companies,Myanmar Treasure Resorts
Htoo Group of Companies,Pavo Aircraft Leasing Company Ltd.
Htoo Group of Companies,Pavo Trading Company Ltd.
Htoo Group of Companies,Asian Wings Airways
Htoo Group of Companies,Yangon United Football Club
Htoo Group of Companies,Elite Tech
Max Myanmar,Max Myanmar Group of Companies
Chaudhary Group,List of instant noodle brands
Chaudhary Group,Rara noodle 
Chaudhary Group, Food portal
IME Group,International Money Express Group
Bahria Town,Bahria Town  Limited
Dawood Group,Dawood Hercules Corporation Limited
Dawood Group,DYL Motorcycles
Dawood Group,Engro Corporation
Engro Corporation,Esso Fertilizers
Fauji Foundation,Fauji Fertilizer Company Limited
Fauji Foundation,Fauji Cement Company Limited
Fauji Foundation,Fauji Kabirwala Power Company Limited
Fauji Foundation,Foundation Power Company Daharki Limited
Fauji Foundation,Mari Petroleum Company Limited
Fauji Foundation,"Pakistan Maroc Phosphore, S.A., Morocco"
Fauji Foundation,Foundation Securities  Limited
Fauji Foundation,Askari Bank Limited
Fauji Foundation,Askari Cement Company
Fauji Foundation,Fauji Meat Limited
Fauji Foundation,Fauji Fresh n Freeze
Fauji Foundation,FFC Energy Limited
Fauji Foundation,Fauji Foods Limited 
Fauji Foundation,Foundation Wind Energy - I
Fauji Foundation,Foundation Wind Energy - II
Fauji Foundation,"Foundation University Medical College, Rawalpindi"
Fauji Foundation,"Foundation University, Islamabad"
Fauji Foundation,"Fauji Foundation College, Rawalpindi"
Lakson Group,"Express Entertainment, Urdu-language Entertainment channel"
Lakson Group,"The Express Tribune, English-language newspaper"
Aboitiz Equity Ventures,PETNET
Aboitiz Equity Ventures,Pilmico Foods Corporation
Aboitiz Equity Ventures,Gold Coin
Aboitiz Equity Ventures,Aboitiz InfraCapital
Aboitiz Equity Ventures,APO Agua Infrastructura
Aboitiz Equity Ventures,"Aboitiz Construction, Inc."
Ayala Corporation,"LiveIt Investments, Ltd."
Ayala Corporation,Affinity Express
Ayala Corporation,HRMall
Ayala Corporation,Zalora Philippines
Ayala Corporation,"Integrated Micro-Electronics, Inc. "
Ayala Corporation,"Isuzu Automotive Dealership, Inc."
Ayala Corporation,Volkswagen Philippines 
Ayala Corporation,"Maxus PHilippines, Inc "
Ayala Corporation,"Kia Philippines, Inc"
Ayala Corporation,Merlin Solar Technologies Inc.
Ayala Corporation,Misslbeck Technologies GmbH 
Ayala Corporation,"Globe Telecom, Inc."
Ayala Corporation,Manila Water Company Inc.
Ayala Corporation,FamilyDOC Clinic
Ayala Corporation,MedGrocer 
Ayala Corporation,Professional Employment Program  
Ayala Corporation,National Teacher's College 
Ayala Corporation,Grail Research
Ayala Corporation,"IQ BackOffice, Inc."
Ayala Corporation,Integreon
Filinvest,Filinvest Development Corporation
Filinvest,EastWest Ageas Life Insurance Corporation
Filinvest,"EastWest Insurance Brokerage, Inc."
Filinvest,EastWest Leasing and Finance Corporation
GMA Network ,"Alta Productions Group, Inc."
GMA Network ,"Digify, Inc."
GMA Network ,"GMA Marketing and Productions, Inc."
GMA Network ,"GMA New Media, Inc."
GMA Network ,"GMA Worldwide , Inc."
GMA Network ,Media Merge Corporation
GMA Network ,"Scenarios, Inc. "
GMA Network ,"Script, Inc."
GMA Network ,"Gamespan, Inc. "
GMA Network ,"INQ Interactive, Inc. "
GMA Network ,Sports Interactive Network Philippines
GMA Network ,RGMA Network Inc. 
GT Capital Holdings,GT Capital Holdings Inc.
GT Capital Holdings,Sumisho Motor Finance Corporation
GT Capital Holdings,Philippine AXA Life Insurance Corporation
GT Capital Holdings,Toyota Manila Bay Corp.
GT Capital Holdings,Toyota Financial Services Philippines Corporation
JG Summit Holdings,"JG Summit Holdings, Inc "
JG Summit Holdings,Robinsons Bank Corporation
JG Summit Holdings,JG Summit Petrochemical Corporation
JG Summit Holdings,JG Summit Olefins Corporation
JG Summit Holdings,"PLDT, Inc. "
JG Summit Holdings,MERALCO 
JG Summit Holdings,Global Business Power Corporation 
Lopez Group of Companies,López Holdings Corporation
Lopez Group of Companies,Benpres Holdings Corporation
Lopez Group of Companies,Philippine Electric Corporation 
Lopez Group of Companies,First Electro Dynamics Corporation 
Lopez Group of Companies,"First Sumiden Circuits, Inc. "
Lopez Group of Companies,"First Sumiden Realty, Inc."
Lopez Group of Companies,First Philec Solar Corporation
LT Group,"LT Group, Inc."
LT Group,Lucio Tan Group
LT Group,Asia Brewery
LT Group,"Tanduay Distillers, Inc.Absolute Distillers"
LT Group,Absolute Distillers
Metro Pacific Investments Corporation,Cebu Manila Water Development Inc.
Metro Pacific Investments Corporation,Metro Pacific Tollways Corporation
Motortrade,Motortrade Nationwide Corporation
Motortrade,Motortrade Philippines
Motortrade,Learn to Ride Safely
Motortrade,Motortrade Mindanao 
San Miguel Corporation,San Miguel Braves 
San Miguel Corporation,"Magnolia, Inc."
San Miguel Corporation,Realsnacks Manufacturing Corporation
San Miguel Corporation,San Miguel Foods Inc.
San Miguel Corporation,San Miguel Mills Inc.
San Miguel Corporation, San Miguel Brewery Inc.
San Miguel Corporation,Private Infra Development Corporation 
San Miguel Corporation,South Luzon Tollway Corporation 
San Miguel Corporation,Skyway O&M Corporation
San Miguel Corporation,"Alloy Manila Toll Expressways, Inc."
San Miguel Corporation,"Optimal Infrastructure Development, Inc."
San Miguel Corporation,"ULCOM Company, Inc."
SM Investments Corporation,SMIC
SM Investments Corporation,SM Group
Top Frontier Investment Holdings,"Top Frontier Investment Holdings, Inc."
Al Jazeera Media Network,Al Jazeera effect
Al Jazeera Media Network,Al Jazeera controversies and criticism
Al Jazeera Media Network,Al Jazeera English
Al Jazeera Media Network,Al Jazeera America
Industries Qatar,Industries Qatar Q.S.C.
Industries Qatar,IQ
Nehmeh,Nehmeh group
Nehmeh,of companies
Dallah Al-Baraka,Dallah Al-Baraka Holding Company 
Dallah Al-Baraka,Durrat Al-Riyadh Co.
Dallah Al-Baraka,Dallah Eastbridge Investment Co.
Dallah Al-Baraka,Dallah Media Production Company 
Dallah Al-Baraka,Ejada
Dallah Al-Baraka,Food Manufacturing Company   
Dallah Al-Baraka,Makkah Printing and Information Company
Dallah Al-Baraka,Maad International Co.
Dallah Al-Baraka,Okaz
Dallah Al-Baraka,Dallah Health Care Company 
Dallah Al-Baraka,Al Baraka Banking Group 
Dallah Al-Baraka,Al-Multaka
Dallah Al-Baraka,El-Ismaila Poultry
Dallah Al-Baraka,Jabal Omar Development Company
Dallah Al-Baraka,Bank Al Jazira
Dallah Al-Baraka,"Reinvention Media, Ltd."
Kingdom Holding,Kingdom Holding Company
SABIC,Saudi Basic Industries Corporation
SABIC,Saudi Aramco
Saudi Binladin Group,SBG
Keppel Corporation,Keppel FELS
Keppel Corporation,Keppel Singmarine
Keppel Corporation,Keppel Shipyard
Keppel Corporation,Keppel Land
Keppel Corporation,Keppel Bay
Keppel Corporation,Keppel Infrastructure Holdings
Keppel Corporation,Keppel Telecommunications & Transportation
Keppel Corporation,Keppel Capital Holdings
Aitken Spence,Official Website
Acer Inc.,Extensa series - Business-oriented laptops
Acer Inc.,Acer Aspire One
Acer Inc.,Acer TimelineX
Bank of Kaohsiung,BOK
Chunghwa Telecom,"Chunghwa Telecom Company, Ltd."
Chunghwa Telecom,List of companies of Taiwan
Evergreen Marine,Uniglory Marine Corp. 
Evergreen Marine,Evergreen UK Ltd. 
Evergreen Marine,Italia Marittima S.p.A. 
Faraday Technology,Faraday Technology Corporation
Giant Bicycles,Giant Manufacturing Co. Ltd.
Giant Bicycles,Giant
HTC,HTC Corporation
Maxxis,Cheng Shin Rubber Industry Co.
MediaTek,MT 
Microtek,Microtek International Inc.
Micro-Star International,"Micro-Star International Co., Ltd"
Micro-Star International,MSI
Mustek Systems,Mustek Systems Inc.
Taiwan Mobile,Official website
TSMC,Official website 
United Microelectronics Corporation,UMC
Zyxel,Zyxel Communications Corp.
Central Group,Central Group of Companies
Central Group,กลุ่มเซ็นทรัล
Central Group,Central Holding
Charoen Pokphand,Thai Chinese
The Erawan Group,Amarin Plaza PCL
Intouch Holdings,"Current Logo, changed on"
Intouch Holdings,Previous Logo
Minor International,Minor International website
Minor International,Minor Hotels website
Minor International,Minor Food website
PTT Public Company Limited,PTT
PTT Public Company Limited,Petroleum Authority of Thailand
PTT Public Company Limited, Companies portal
Samart Group,Samart
